author_name,review_rating,review_text,review_time
Thành Trương Hiển,5,No text review,2025-11-26T14:13:06.920Z
Diễm Lưu,5,Bạn Thiên Thanh phục vụ rất tốt ❤️,2025-11-26T13:11:39.042Z
Hòa Thuận Trương,4,"Just had a fantastic dinner out with the family! The service was absolutely top-notch, everyone was so friendly and attentive. We all really enjoyed our meals, and it was just a perfect, warm atmosphere.",2025-11-25T03:32:27.989Z
Bhaskar Vempali,5,No text review,2025-11-26T14:54:58.257Z
Dheeraj Reddy Puchakayala,5,No text review,2025-11-26T14:54:38.823Z
Souledone,4,No text review,2025-11-26T14:53:52.733Z
Hân Nguyễn,5,"Đồ ăn ngon, không gian quán rộng rãi thoáng mát yên tĩnh, nhân viên phục vụ nhiệt tình đáng yêu ❤️",2025-11-26T14:37:01.910Z
Florian Brus,5,No text review,2025-11-26T14:11:58.402Z
King Luxury,5,No text review,2025-11-27T00:54:13.966Z
Linh Diệu,5,"Tuyệt vời, ngon, nhân viên phục vụ tốt",2025-11-26T14:45:20.224Z
Hoàng Phượng,5,"Nhân viên dễ thương, hỗ trợ nhiệt tình",2025-11-26T14:45:19.623Z
25- Hồ Tô Gia Như,5,"bạn Trung Kiên siêu dễ thương phục vụ siêu nhiệt tình bà các bạn nhân viên khác cũng dễ thương ko kém, đồ ăn cũng cũng, đáng quay lại lần 2",2025-11-26T14:38:14.447Z
anh dong,5,"Anh Kiên đẹp trai, take care tốt",2025-11-26T14:16:27.039Z
Quỳnh Như Võ Hà,3,No text review,2025-11-26T13:10:50.387Z
Jason Wang,5,"Amazing Pasta and Pizza. Comfortable ambience for gatherings and hangout. Cannot be better than this, Yum!",2025-11-26T05:44:14.262Z
Nghĩa Nguyễn,5,Ngon vãi c,2025-11-25T14:40:53.287Z
Mỹ Kỳ,5,No text review,2025-11-25T13:47:22.280Z
Thái Sơn Nguyễn Trần,5,No text review,2025-11-25T13:05:49.681Z
Jss Mxmx,3,No text review,2025-11-27T02:21:56.592Z
Lee An,5,bạn Thanh Vi với Thành An chi nhánh Taka dth lắm ^^,2025-11-26T14:02:12.211Z
Tina K.,5,"Food, beverages, and everything was great - as expected from 4P's! Thai Sinh was a great server with a lot of patience for us ordering. Highly recommended!",2025-11-26T12:55:41.809Z
Ryan Stephen Chan,5,"Great place for pizza, amazingly done. Also, Sinh was very welcoming and friendly. Made the whole dining experience very homely and pleasant. Will be back again!",2025-11-26T12:00:49.723Z
ziyah azahar,5,sinh was being so friendly and nice :) good food and experience,2025-11-26T10:56:29.857Z
Miircea20,5,"Ich hatte heute die beste Pizza, die ich je in meinem Leben gegessen habe. Und der Meinung waren meine zwei Brüder, welche mich begleitet hattet, auch. Ganz großes Lob geht an die kleine äußerst freundliche Bedienung, welche die Tische im Eingangsbereich bedient hat. Sowas freundliches und zuvorkommendes wünscht man sich öfter. Macht weiter so. Einfach unglaublich !",2025-11-26T15:59:50.329Z
Le Thy,5,No text review,2025-11-26T13:56:10.161Z
Chinh Ng,5,"Very nice experience at 4P ! Great pizza, amazing service",2025-11-26T13:12:53.188Z
Mpetha Mbuyisa,5,Lovely place. Friendly attentive staff. Food was exceptional.,2025-11-26T13:07:10.503Z
alexander de lumassie,5,No text review,2025-11-26T13:06:52.752Z
Herman,3,I have been a loyal customer of 4P’s for many years and it used to be my first stop whenever I visit Vietnam. On my most recent visit I was disappointed by a noticeable decline in food quality: both the beef and the pizza were quite tough and did not meet the standard I have come to expect.,2025-11-27T00:25:57.325Z
Gül Miray Keçici,5,No text review,2025-11-26T18:54:37.611Z
nathan wood,5,No text review,2025-11-26T14:56:23.765Z
Yasuo Takakura,5,Food was really good. The service was also good and I would like to come again!,2025-11-26T14:42:58.917Z
Rebecca Martin,5,"Lovely spot. Great vibe and atmosphere, food is yummy and service is great. Definitely recommend a visit.",2025-11-26T14:17:07.557Z
Lindsay Nelson,5,No text review,2025-11-04T18:23:05.481Z
Nguyen Viet Hung,4,No text review,2025-11-02T02:23:17.122Z
thư trần,1,"mưa mình lại hỏi ngồi chỗ nào nv bảo chị thấy chỗ nào khô thì tự ngồi, mình bảo mưa chỗ nào cũng ướt cái nv bảo dị em chịu là giải quyết vấn đề cho khách đến ăn chưa",2025-10-14T12:46:34.135Z
Nghia Tran,1,"Tôi và gia đình là KH lâu năm của Pizza 4P, tối ngày 05/10/25 gia đình tôi có đặt gọi pizza half 5 cheese half nấm, 1 súp kem nấm, 1 salad cải kale. Chuyện không có gì cho đến khi tôi dùng món cải Kale bị trộn lẫn với nhiều rau nát, thối. Khi liên hệ với Pizza 4p thì được giải thích là do nhà hàng trộn với mint và húng quế để tạo hương vị đặc trưng của món ăn, đây không phải là lần đầu tiên gia đình tôi dùng cải kale ở Pizza 4P và đây là lần đầu tiên tôi gặp trải nghiệm này.
Vấn đề là ban đầu bạn nhân viên bảo mint và húng quế, sau tôi hỏi có chắc không, và có phải món cải kale nào cũng bỏ mint và húng quế thế này vào món thì bạn lại không trả lời trực diện mà cứ vòng vo, tôi đăng clip lên đây để mọi người và ngay cả Pizza 4P cùng xem, nếu đúng thực là mint với húng quế VÀ đạt chất lượng, tôi sẽ gỡ review 1 sao này xuống ngay lập tức.
Bên cạnh đăng tải lên đây, tôi cũng sẽ đăng clip lên mạng xã hội để những người khác cùng đánh giá.",2025-10-06T01:21:17.991Z
Julia Babcock,5,No text review,2025-10-03T14:15:45.903Z
Ari Delint,5,We got by grab a pizza an spaghetti and it arrived perfect tasted delicious,2025-11-27T00:18:17.691Z
Gül Miray Keçici,5,No text review,2025-11-26T18:55:07.006Z
Muhammad Rehan Wadiwala,5,"Hanna went above and beyond with her service. Thank you for making my daughters day. The food was exceptional, and the atmosphere was unmatched. Truly the best pizza in town—the experience itself exceeds even the pizza.",2025-11-26T15:36:08.735Z
Jacob Lu,5,No text review,2025-11-26T15:13:34.954Z
ginny bakker,5,Het eten was geweldig! En de service ook!! Hanna was onze serveerster vanavond en ze was echt super lief! Absoluut een aanrader!,2025-11-26T14:51:16.724Z
Khon Bui,5,Tuyệt vời,2025-11-18T15:28:57.208Z
Sơn Lê,5,No text review,2025-11-14T12:36:28.246Z
Duyên Phan,5,Nhân viên vui vẽ nhiệt tình,2025-11-10T04:59:43.778Z
Тимур Садыков,5,No text review,2025-11-05T05:54:09.165Z
Alex,3,"Mình đi nhiều quán highlands rồi nhưng thấy chi nhánh này đc mỗi khu ngoài trời là sáng sủa. Còn trong phòng thì ko khí ngột ngạt tối tăm kiểu ngồi hồi là ngủ luôn, nói chung ko tới đây làm việc đc",2025-11-01T23:20:02.487Z
Tiger Girl,1,"Hôm trc mình có ghé qua đây mua Matcha Dâu Tây. Lúc bạn nhân viên bán cho mình thì chỉ có Matcha với 1 ít dâu ở dưới, hoàn toàn ko có lớp kem dâu bên trên 😌 highlands tuyển nhân viên thật ""cá tính"" đó 😌 lúc đó tôi mà biết được tôi ko để yên đâu 😌 làm ăn gian dối ai mà dám ghé nữa. Ăn 1 sao nhé Highlands Nam Kì😡😏",2025-11-25T15:41:28.801Z
MoonSun - NguyenHa 's family,5,No text review,2025-11-23T12:04:12.894Z
ライトセバスチャン,5,"美味しく安いコーヒー、パンでした。
セットで53.000ドン
パンもサクサクとした感触です。
コーヒーも少し甘い味わい。
エアコンも効いています。",2025-11-22T06:29:55.543Z
Paisley May,5,No text review,2025-10-29T01:05:55.712Z
Loc Letuan,4,Rất tốt.,2025-10-18T13:35:07.084Z
Garima Baldua,4,No text review,2025-11-26T16:12:42.675Z
Patrick Kosellek,5,This Highlands has a ice cream machine for the best topping,2025-11-25T04:21:47.368Z
Huy Chuong Nguyen Pham,4,No text review,2025-11-21T15:18:19.105Z
Светлана Саттарова,5,No text review,2025-11-20T06:41:13.609Z
quyen dinh,4,No text review,2025-11-19T23:40:34.606Z
Huyền Ngọc,5,No text review,2025-11-26T13:19:32.438Z
Hoai Quoc,5,No text review,2025-11-26T10:44:30.940Z
Duy Truong,1,"Quản lý tên trang thái độ khinh thường và hỗn láo với khách hàng , nên đổi quản lý khác",2025-11-23T11:33:39.603Z
Quoc Hung Do,4,No text review,2025-11-23T04:39:36.954Z
William Bryson,4,Just an average Highlands Coffee shop. Ok coffee. Somewhat overpriced. Good parking with security.,2025-11-23T04:29:11.266Z
Thành Ngô Thị Như,2,"Mình order có dặn kỹ các bạn về thức uống như lượng đường, đá, lượng cà phê. Nhưng khi nhận lại thì không như mình dặn dò. Đây là lần thứ 3 mình bị như vậy. Mình thật sự thất vọng.",2025-11-20T04:25:29.963Z
Trang Thanh Minh Thư,5,"Bánh Cheese và Trà vải ngon
View.cực đẹp",2025-11-08T00:04:59.617Z
Hùng Nguyễn,4,No text review,2025-11-05T17:23:39.800Z
Le Ngan,1,"Nhân viên thái độ rất tệ, phục vụ lâu lắc",2025-10-31T01:38:29.327Z
Thảo Nguyễn,5,No text review,2025-10-22T14:45:10.823Z
Anh Hoàng Phương,1,"Nhân viên siêu tệ, thái độ, giỡn hớt chửi thề ầm ĩ khi khách còn trong quán
Mình đi vào ca chiều 17h ngày thứ tư 19/11",2025-11-22T09:25:51.893Z
Duy Đào Hoàng,5,Good,2025-11-20T05:34:23.355Z
Trần Tiền,3,"Hôm nay 16/11 mình cùng bạn ghé uống nước. Lúc đó mình ngồi trên lầu cùng nhìu bạn khác và có đồ trên bàn nên mới phải để ly nước sang 1 chiếc bàn nhỏ cạnh bên khác. Nước chưa uống được bao nhiêu, 2 ly đầy ấp quay qua quay lại cái là bạn nhân viên dọn ly luôn:(((( Có thể confirm với khách ngồi cạnh vì bàn đó mk lấy đi 2 chiếc ghế, để ngồi bàn bên cạnh mà. Đến khi phát hiện thì nhân viên nói “em tưởng khách về nên vừa mới dọn ly luôn”, mình vẫn hoan hỉ và chẳng nhận lại được 1 câu xin lỗi",2025-11-16T05:00:58.535Z
Oanh Bui,5,No text review,2025-11-11T06:27:23.807Z
Co Hiem,1,No text review,2025-11-09T09:59:05.601Z
Đức Văn,5,Cắt tóc đẹp,2025-11-20T13:12:27.068Z
Quyen Nguyen,4,"I stumbled upon this place while taking a walk.
​Atmosphere and Layout:
​The space is spacious and airy. ​It features multiple seating areas spread across two floors.
​If you are a smoker, there is a dedicated area available outside by the pavement.

​Drinks:
​The drinks here are made quite sweet.
​This was the case even though I specifically ordered less sugar.

​Service:
​The staff were very quick and agile.
​They were also enthusiastic and attentive.",2025-11-19T17:19:54.581Z
STT89,5,No text review,2025-11-19T09:21:37.217Z
malvika sharma,5,No text review,2025-11-18T22:53:26.263Z
Zac Heil,4,"Chi nhánh Highlands Coffee Premium. Với không gian siu thoáng nhiều góc và view rất đẹp. Tuy nhiên, thực sự là chưa thấy service của các bạn nhân viên có gì đặc biệt so với giá cao ntn, ngoài việc sử dụng ly thuỷ tinh. Nói chung là không quay lại",2025-11-16T13:31:48.436Z
LE Edgar,4,"Vị trí: góc đường, rộng rãi, sạch sẽ, thoáng mát
Thức uống: đa dạng theo chuỗi Hinglands chung nên cũng dễ chọn lựa.
Giá tiền: Hợp lý so với mặt bằng chung khu vực
Nhân viên: làm việc theo chuỗi và khá chuyên nghiệp
Tôi đến gặp khách buổi trưa 14:00 nên cũng có chỗ ngồi, chứ nếu giờ cao điểm chắc sẽ đông và khó có chỗ.
Bãi đậu xe: gắn máy thì dễ, ô tô hơi khó nhưng mình đi Xanh SM vì vậy cũng tiện.
Đánh giá chung: 9pts",2025-11-27T01:11:44.755Z
Thùy Đỗ,1,Tôi thấy rất tệ .xem thường khách hàng :(,2025-11-24T05:04:55.609Z
Phước Nguyễn Trịnh Thế,5,"Không gian quán rộng rãi, mát mẻ",2025-11-22T06:27:47.374Z
Steve Hawkins,5,"Highlands chain is really good. They never have a large selection of food stuff ( they can definitely improve on that) but the latter, cappuccino etc are made using fresh fresh cows milk, not long life stuff.",2025-11-16T09:47:30.531Z
Tuấn Anh Trần,1,Nhân viên không linh động khi khách sử dụng voucher,2025-11-14T04:10:15.149Z
Trọng Tín Nguyễn,5,No text review,2025-11-26T16:15:02.381Z
Robert Cky,5,No text review,2025-11-26T11:50:23.666Z
Đức Trọng Nguyễn,5,"Tòa nhà biểu tượng của trung tâm tài chính Quận 1. Ngồi cafe ở đây view đẹp, mạng mạnh, rất hợp để trade coin. Tiện thể review cho anh em nào đang tìm sàn giao dịch uy tín thì cứ Binance mà dùng. Đây là sàn Top 1 thế giới rồi, thanh khoản cao, khớp lệnh mua bán trong tích tắc, không bao giờ lo bị giam tiền.
Bác nào mới bước chân vào thị trường Crypto thì nên đăng ký tài khoản qua mã giới thiệu. Nhập mã ARTTRONG2601 để được giảm 20% phí giao dịch trọn đời và nhận các ưu đãi khởi đầu nhe. Uy tín!",2025-11-26T05:42:07.256Z
Francois Crenn,5,Magnifique vue sur la ville d'Ho Chi Minh,2025-11-25T11:54:18.629Z
elysha breden,3,No text review,2025-11-25T08:59:26.880Z
Huy Quang,5,"chị hiền làm chi tiết cẩn thận, ủng hộ chị nhaa",2025-11-27T02:22:56.031Z
Jss Mxmx,5,No text review,2025-11-27T02:21:42.238Z
Indy McCarthy,4,No text review,2025-11-27T01:46:30.155Z
Maricel Gildore,5,Definitely coming back to shop! 🛍😄,2025-11-27T01:40:31.869Z
Gerald Savard,3,No text review,2025-11-26T23:39:48.298Z
Joseph Nguyễn (Jonathan),5,No text review,2025-11-26T15:36:05.523Z
TRUNG HIẾU TRẦN,5,No text review,2025-11-26T14:44:09.302Z
quocphong nguyen,5,"Trung tâm mua sắm,vui chơi và ăn uống rộng lớn ,sang trọng",2025-11-26T12:28:47.832Z
Lê Thành Nhân,5,No text review,2025-11-26T10:40:17.391Z
paula phạm,1,"Trải nghiệm tệ nhất đó giờ ở Gem! Năm nay noel mình ghé Gem để chụp hình,trang trí tạm ổn.Việc thu vé 200k/ khách cũng có thể chấp nhận xem như là cách để duy trì và ổn định lượng khách.NHƯNG nước CỰC KỲ DỞ TỆ! Bánh cũng chán luôn.Mình cố uống vì tiếc tiền chứ bỏ hết 1/2 nước và bánh.Năm sau sẽ cân nhắc việc có quay lại Gem hay ko.",2025-11-26T06:18:59.586Z
